Taxonomy Name,MR
Cajanus cajan (species),779
Pristionchus pacificus (species),775
Pythium brassicum (species),772
Monosiga brevicollis MX1* (strain),769
Trichomonas vaginalis G3* (isolate),765
Beta vulgaris subsp. vulgaris (subspecies),742
Lucilia sericata (species),733
Reticulomyxa filosa* (species),731
Deuterostomia (clade),714
Pancrustacea (clade),711
Sarcocystidae (family),706
Entamoeba dispar SAW760* (strain),696
Formicidae* (family),693
Encephalitozoon* (genus),686
Crassostrea (genus),679
Acytosteliales (order),678
Ramazzottius varieornatus (species),678
fabids (clade),677
Evosea (phylum),660
Actiniaria (order),654
Naviculales (order),636
Embryophyta (clade),619
Agaricomycotina (subphylum),617
Dendronephthya gigantea (species),612
Verruconis gallopava (species),612
Gnathostomata (clade),610
Talaromyces pinophilus (species),590
Neocallimastigaceae (family),589
Fistulifera solaris (species),556
Theria (clade),556
Rhizophagus (genus),554
Acropora (genus),552
Peronosporaceae (family),548
Verticillium dahliae (species),542
Daphnia magna (species),541
Thelohanellus kitauei* (species),540
Hondaea fermentalgiana* (species),540
Basidiomycota (phylum),537
Acytostelium subglobosum LB1* (strain),536
Orchesella cincta (species),535
Araneus ventricosus (species),532
Rhipicephalinae (subfamily),529
Blastocystis sp. ATCC 50177/Nand II* (strain),525
Rhodymeniophycidae (subclass),505
Wilcoxina mikolae CBS 423.85* (strain),501
Mollusca (phylum),488
Metschnikowiaceae (family),481
Vanderwaltozyma polyspora DSM 70294* (strain),478
Brachionus koreanus (species),477
Myriangium duriaei CBS 260.36* (strain),472
Aspergillus campestris IBT 28561* (strain),468
Ensete ventricosum (species),468
Notothenia coriiceps (species),467
Plasmodium ovale (species),466
Naegleria gruberi (species),464
Culicinae (subfamily),457
Allomyces macrogynus ATCC 38327* (strain),452
Percomorphaceae (clade),443
Metschnikowia aff. pulcherrima (species),443
Chlorella variabilis (species),442
Amniota (clade),440
Didymella exigua CBS 183.55* (strain),429
Strigomonas culicis (species),413
Notothenioidei (suborder),408
Abscondita terminalis (species),403
Megalops cyprinoides (species),403
Hanseniaspora valbyensis NRRL Y-1626* (strain),402
Trichoplax sp. H2 (species),383
Valvatida (order),380
Salpingoeca rosetta (species),378
Pomacea canaliculata (species),378
Leptotrombidium deliense (species),372
Leishmania tarentolae (species),368
Brachionus calyciflorus (species),362
Cryptosporidium felis (species),352
Dictyostelium purpureum (species),348
Vollenhovia emeryi (species),347
Neotominae (subfamily),330
Diabrotica virgifera virgifera (subspecies),324
Rhynchophorus ferrugineus (species),323
Pneumocystis jirovecii RU7* (strain),321
Ramularia collo-cygni (species),319
Mizuhopecten yessoensis* (species),316
Emiliania huxleyi CCMP1516* (strain),304
Linnemannia exigua (species),303
Aculeata (infraorder),302
Apansporoblastina (suborder),300
Beauveria bassiana (species),293
Kazachstania naganishii CBS 8797* (strain),292
Vertebrata* (clade),291
Strongylocentrotus purpuratus (species),288
Pecten maximus (species),286
Macrostomum lignano (species),278
Polistes canadensis (species),271
Triticum turgidum subsp. durum (subspecies),268
Tieghemostelium lacteum* (species),266
Procambarus clarkii (species),263
Labeo rohita (species),261
Athelia sp. TMB (species),260
Dinothrombium tinctorium (species),259
Pleosporaceae (family),249
Symbiodinium microadriaticum (species),247
Gigaspora (genus),246
Branchiostoma (genus),243
Piromyces finnis (species),243
Chrysochromulina tobinii (species),242
Pythiaceae (family),241
Platyhelminthes (phylum),239
Tetrapoda (clade),238
Petromyzon marinus* (species),235
Cavenderia fasciculata (species),234
Pezizomycotina (subphylum),234
Phaffia rhodozyma (species),229
Capitella teleta (species),222
Caenorhabditis (genus),211
Rhizoclosmatium globosum (species),207
Cucumispora dikerogammari* (species),200
Cardiosporidium cionae* (species),198
Saitoella complicata NRRL Y-17804* (strain),196
Histoplasma capsulatum (species),194
Rhizoctonia solani AG-1 IB (no rank),193
Chordata (phylum),191
Streptophytina (subphylum),187
Folsomia candida (species),186
Neognathae (infraclass),185
Fragilariopsis cylindrus CCMP1102* (strain),184
Pichia kudriavzevii (species),181
Gymnopus androsaceus JB14* (strain),180
Rozella allomycis CSF55* (strain),179
Capsaspora owczarzaki ATCC 30864* (strain),178
Fomitiporia mediterranea MF3/22* (strain),177
Mytilus galloprovincialis (species),175
Anneissia japonica (species),174
Adiantum capillus-veneris (species),168
rosids (clade),167
Pseudogymnoascus sp. VKM F-4517 (FW-2822) (species),167
Ditrysia (clade),164
Agaricomycetes (class),163
Naegleria (genus),163
Mitosporidium daphniae* (species),163
Echinidea* (infraorder),160
Stramenopiles (clade),157
Phytophthora kernoviae (species),156
Operophtera brumata (species),152
Polysphondylium violaceum* (species),152
Mucoromycotina (subphylum),148
Hexapoda (subphylum),148
Orbicella faveolata (species),142
Phytophthora cactorum (species),142
Mytilus coruscus (species),142
Onchocercidae (family),142
Plutella xylostella (species),139
Cafeteria roenbergensis* (species),138
Aphanomyces stellatus (species),136
Actinia tenebrosa (species),135
Patiria miniata (species),135
Erpetoichthys calabaricus* (species),130
Trichoplax (genus),128
Ixodes scapularis (species),127
Hexacorallia (subclass),126
Trachymyrmex cornetzi (species),125
Absidia glauca (species),125
Perkinsus (genus),125
Hydnomerulius pinastri MD-312* (strain),125
Apostasia shenzhenica (species),125
Nesidiocoris tenuis (species),124
Cadophora sp. DSE1049 (species),123
Verticillium longisporum (species),117
Monodopsidaceae (family),115
Photinus pyralis (species),115
Tarenaya hassleriana (species),113
Aphis craccivora (species),113
Giardia intestinalis (species),113
Dictyosteliales (order),112
Rhinolophus ferrumequinum (species),112
Octopus sinensis (species),110
Trichodelitschia bisporula* (species),110
Aplysia californica (species),109
Hericium alpestre (species),108
Cinara cedri (species),108
Apostichopus japonicus (species),107
Limulus polyphemus (species),106
Glomeromycetes (class),105
Aphanomyces astaci (species),105
Scleractinia (order),105
Linnemannia elongata AG-77* (strain),104
Heterostelium album PN500* (strain),102
Anthozoa (class),101
Rotifera (phylum),101
Melipona quadrifasciata (species),100
Mytilus (genus),98
Pectinidae (family),98
Poaceae (family),97
Apolygus lucorum (species),96
Ananas comosus (species),93
Tribolium castaneum (species),92
Scleropages formosus (species),91
obscura group (species group),91
Monosporascus sp. mg162 (species),91
Oikopleura dioica (species),90
Darwinula stevensoni* (species),90
Chenopodium quinoa (species),90
Cricetulus griseus (species),89
Eutheria (clade),88
Senna tora (species),88
Nematoda (phylum),88
Acytosteliaceae (family),88
Saccoglossus kowalevskii (species),88
Cryptotermes secundus (species),87
Diachasma alloeum (species),87
Homo sapiens (species),86
Ciona intestinalis (species),85
Echinostomatoidea (superfamily),84
Helobdella robusta (species),83
Biomphalaria glabrata (species),82
Diploscapter pachys (species),82
Bradysia coprophila (species),80
Vespidae (family),78
Pteriomorphia (clade),78
Dermacentor silvarum (species),77
Frankliniella occidentalis (species),77
Brassicaceae (family),77
Echinodermata (phylum),77
Chlamydomonas reinhardtii (species),76
Epiphanes senta* (species),75
Elysia chlorotica (species),75
Ciona (genus),73
Nosema granulosis (species),73
Daphnia (genus),72
Dictyosteliaceae (family),71
Aphanomyces euteiches (species),71
Streptophyta (phylum),70
Synchytrium* (genus),70
Mucorineae (suborder),69
Crassostrea virginica (species),69
Liparis tanakae (species),68
Aphidinae (subfamily),68
saccharomyceta (clade),68
Angomonas deanei (species),68
Aspergillus steynii IBT 23096* (strain),66
Clunio marinus (species),66
Pollicipes pollicipes (species),65
Portunus trituberculatus (species),65
Aulographum hederae CBS 113979* (strain),65
Paxillus (genus),64
Phaeodactylum tricornutum CCAP 1055/1* (strain),64
Arachnida (class),64
Selaginella moellendorffii (species),64
Acer yangbiense (species),63
Lasallia pustulata (species),62
Ctenocephalides felis (species),62
Pluteus cervinus (species),62
Leotiomycetes (class),61
Lucifuga dentata (species),61
Vanessa tameamea (species),60
Dimorphilus gyrociliatus (species),59
Euphyllophyta (clade),59
Archelosauria (clade),59
Myzus persicae (species),59
Cebinae (subfamily),58
Onthophagus taurus (species),58
Dictyostelium (genus),57
Ixodidae (family),57
Litomosoides sigmodontis (species),57
Sphaeroforma arctica JP610* (strain),56
Gamasina (infraorder),56
Caenorhabditis remanei (species),56
Micromonas commoda (species),56
Aspergillus (genus),56
Saprolegnia diclina VS20* (strain),55
Cladocera (suborder),55
Anopheles stephensi (species),55
Clonostachys rosea (species),55
Microthlaspi erraticum (species),54
Aphis glycines (species),54
Schistocephalus solidus (species),53
Ochrophyta (clade),53
Dictyostelium discoideum (species),53
Acropora millepora (species),53
Blastocystis sp. subtypes (clade),52
Boletales (order),52
Trebouxia sp. A1-2 (species),52
Cyanidiaceae (family),52
Aureococcus anophagefferens* (species),51
Astyanax mexicanus (species),51
Bombyx mori (species),51
Maleae (tribe),51
Fonticula alba* (species),50
Branchiostoma floridae (species),50
Saprolegniaceae (family),50
Ctenopharyngodon idella (species),50
Rhizophagus irregularis DAOM 181602=DAOM 197198 (strain),49
Callorhinchus milii (species),49
Amphimedon queenslandica (species),49
Tigriopus californicus (species),49
Hippocampus comes (species),49
Trematomus bernacchii (species),49
Chilodonella uncinata* (species),48
Eumalacostraca (subclass),48
Endogone sp. FLAS-F59071 (species),48
Pseudogymnoascus sp. VKM F-4519 (FW-2642) (species),48
Chara braunii (species),48
Simiiformes (infraorder),47
Chanos chanos* (species),47
Scyliorhinus torazame (species),47
Aphididae (family),46
Dictyostelium discoideum AX4 (strain),46
Micromonas pusilla CCMP1545* (strain),46
Thraustotheca clavata* (species),46
Cimex lectularius (species),46
Tracheophyta (clade),46
Aegilops tauschii subsp. tauschii (subspecies),46
Serendipita vermifera 'subsp. bescii' (subspecies),45
Eumeta japonica (species),44
Pocillopora damicornis (species),44
Phallusia mammillata (species),43
Myrmicinae (subfamily),43
Ipomoea nil (species),43
Rhizophagus irregularis (species),43
Venturia (genus),42
Priapulus caudatus (species),41
Latimeria chalumnae (species),41
Spermatophyta (clade),41
Astrocoeniina (suborder),40
Klebsormidium nitens (species),40
Opisthorchiidae (family),40
Suhomyces tanzawaensis NRRL Y-17324* (strain),40
Fusarium oxysporum f. sp. narcissi (forma specialis),40
Colocasia esculenta (species),40
Polyphaga (suborder),40
Wickerhamomyces ciferrii (species),40
Prymnesiophyceae (clade),40
Pseudomyrmex gracilis (species),40
core chlorophytes (clade),39
Penicillium (genus),39
Chytriomyces confervae (species),39
Galerina marginata CBS 339.88* (strain),39
Cloeon dipterum (species),39
Agaricomycetes incertae sedis (no rank),38
Hyphopichia burtonii NRRL Y-1933* (strain),38
Kwoniella dejecticola CBS 10117* (strain),38
Ectocarpus siliculosus (species),38
Hydatigera taeniaeformis (species),37
Thamnophis sirtalis (species),37
Notodromas monacha* (species),37
Tetrahymena pyriformis (species),37
Brachycera (suborder),37
Turnix velox (species),37
Digenea (subclass),36
Zea mays (species),36
Ignelater luminosus (species),36
Dunaliella salina (species),36
Chlamydomonas eustigma (species),36
Ceratodon purpureus (species),36
Platynereis dumerilii (species),35
Cannabis sativa* (species),35
Asteroidea (class),35
Diversispora epigaea (species),35
Hevea brasiliensis (species),35
Zootermopsis nevadensis (species),35
Microgastrinae (subfamily),35
Diptera (order),34
Brachionus ibericus (species),34
Micractinium conductrix (species),34
Saccharomycetaceae (family),34
Gigaspora margarita (species),34
Argiope bruennichi (species),34
Pythium oligandrum (species),33
Trichinella* (genus),33
Salmonidae* (family),33
Panarthropoda (clade),33
Salix dunnii (species),33
Chlorophyta (phylum),33
Gossypium hirsutum (species),32
Agaricomycetidae (subclass),32
Tetranychus urticae (species),31
Glomeraceae (family),31
Brassica cretica (species),31
Eleutherozoa (clade),31
Theileria equi strain WA* (strain),31
Ostreococcus lucimarinus CCE9901* (strain),31
Quercus suber (species),31
Schistosoma (genus),31
Aphidoidea (superfamily),30
Obtectomera (clade),30
Anguilla anguilla (species),30
Euarchontoglires (superorder),30
Channa argus (species),30
Bacillariophycidae (clade),30
Fusarium vanettenii 77-13-4* (no rank),30
Amphibalanus amphitrite (species),30
Dendroctonus ponderosae (species),30
Microbotryum intermedium (species),29
Amblyraja radiata (species),29
Centruroides sculpturatus (species),29
Orussus abietinus (species),29
Hymenoptera (order),29
Haematococcus lacustris (species),29
Rhizoctonia solani 123E (strain),28
Teleostei (infraclass),28
Cryptococcus (genus),28
Brassica (genus),28
Eucalyptus grandis (species),28
Parasteatoda tepidariorum (species),28
Gastropoda (class),28
Parasitoida (infraorder),28
Aphanomyces (genus),28
Oreotrochilus melanogaster (species),28
Entomophthora muscae (species),28
Laetiporus sulphureus 93-53 (strain),27
Echinostoma caproni (species),27
Leptinotarsa decemlineata (species),27
Metakinetoplastina (subclass),27
Absidia repens (species),27
Paragonimus kellicotti (species),27
Cyprinoidei (suborder),27
Suillus brevipes Sb2* (strain),26
Rhagoletis zephyria (species),26
Mycena (genus),26
Wallemia mellicola (species),26
Choanephora cucurbitarum (species),26
Ephemera danica (species),26
Dissophora globulifera (species),26
Rhizopus stolonifer (species),26
Lichtheimia ramosa (species),26
Chromadorea (class),26
Cynara cardunculus var. scolymus (varietas),26
Lottia gigantea (species),26
Lamprigera yunnana (species),26
Labrus bergylta (species),26
Rhabditida (order),25
Eurytemora affinis (species),25
Nanorana parkeri (species),25
Anadara sativa (species),25
Trichuris* (genus),25
Epinephelus bruneus (species),25
Kalaharituber pfeilii* (species),25
Asbolus verrucosus* (species),24
Mucuna pruriens (species),24
Pteropus alecto (species),24
Ameiurus melas (species),24
Adineta vaga (species),24
Alligator sinensis (species),24
Dufourea novaeangliae (species),24
Microplitis demolitor (species),24
Leishmania (subgenus),24
Trebouxiophyceae (class),24
Pythium insidiosum (species),23
Brassicales (order),23
Nematocida parisii ERTm3 (strain),23
Sarcophilus harrisii* (species),23
Testicularia cyperi* (species),23
Nannochloropsis salina CCMP1776* (strain),23
Cantharellus anzutake (species),23
Collichthys lucidus (species),22
Mortierella sp. NVP85 (species),22
Mucoromycota (phylum),22
Multicrustacea (superclass),22
Brachionus manjavacas (species),22
Timema* (genus),22
Punica granatum (species),22
Bacillariophyta (phylum),22
Cottoperca gobio (species),22
Hymenolepididae (family),22
Laccaria amethystina LaAM-08-1* (strain),22
Entomophthorales* (order),22
Acanthamoeba* (genus),21
Armadillidium nasatum (species),21
Thelazia callipaeda (species),21
Digitaria exilis (species),21
Genlisea aurea (species),21
Eupercaria (clade),21
Colletotrichum tofieldiae (species),21
Necator americanus (species),21
Erythrura gouldiae (species),21
Bagarius yarrelli (species),21
Termitoidae (no rank),21
Pleuronectoidei (suborder),21
Fonsecaea erecta (species),21
Tuber indicum (species),21
Globisporangium splendens (species),20
Trypanosomatidae* (family),20
Rhizoctonia solani AG-3 (no rank),20
Pterygota (subclass),20
Crustacea (subphylum),20
Haliotis discus hannai (subspecies),20
Cucurbita (genus),20
Vigna angularis var. angularis (varietas),20
Coptotermes formosanus (species),20
Opiinae (subfamily),20
Chelonioidea (superfamily),20
Carassius auratus (species),20
Rhipicephalus microplus (species),19
Sinonovacula constricta (species),19
Euthyneura (clade),19
Smittium megazygosporum (species),19
Anopheles albimanus* (species),19
Galendromus occidentalis (species),19
Actinopteri (class),19
Rhinopomastus cyanomelas* (species),19
Brachionus rotundiformis (species),19
Crassostrea ariakensis (species),19
Microcaecilia unicolor (species),19
Meira miltonrushii (species),19
Colletotrichum nymphaeae SA-01* (strain),18
Achlya hypogyna (species),18
Linepithema humile (species),18
Daphniidae (family),18
Gonapodya prolifera JEL478* (strain),18
Ophiocordyceps camponoti-saundersi (nom. inval.) (species),18
Caligus clemensi (species),18
Apteryx* (genus),18
Phytophthora (genus),17
Chilo suppressalis (species),17
Thoracica (superorder),17
Xenopus tropicalis (species),17
Mucorales* (order),17
Trypanosoma rangeli SC58* (strain),17
Ipomoea triloba (species),17
Apis cerana cerana (subspecies),17
Sphaeramia orbicularis (species),17
Viridothelium virens* (species),17
Melampsora larici-populina 98AG31* (strain),17
Apocrita (suborder),17
Petrosaviidae (subclass),17
Acanthocheilonema viteae (species),17
Dromaius novaehollandiae (species),17
Bdelloidea (class),17
Scenedesmus sp. NREL 46B-D3 (species),16
Gongylonema pulchrum (species),16
Piloderma croceum F 1598* (strain),16
Passeriformes (order),16
Fasciolidae (family),16
Strongyloides ratti (species),16
Chlamydomonadales (order),16
Hymenolepis microstoma (species),16
Tylenchina (suborder),16
Brassica rapa (species),16
Gymnopus luxurians FD-317 M1* (strain),16
Ectocarpus sp. CCAP 1310/34 (species),16
Bathycoccus prasinos* (species),16
Neocopepoda (infraclass),15
Rhinatrema bivittatum (species),15
Triticum (genus),15
Electrophorus electricus (species),15
Tricholomella constricta* (species),15
Amanita thiersii Skay4041* (strain),15
Meloidogyne enterolobii (species),15
Rhincodon typus* (species),15
Hemiptera (order),15
Corythionella sp. ATCC 50887* (species),15
Denticeps clupeoides* (species),15
Echinococcus (genus),15
Fusarium euwallaceae (species),15
Lasius niger (species),15
Akanthomyces lecanii (species),15
Saccharata proteae CBS 121410* (strain),15
Hystricomorpha (suborder),15
Marchantia polymorpha (species),14
Colubroidea (superfamily),14
Actinopterygii (superclass),14
Moniliophthora roreri (species),14
Leucoagaricus sp. SymC.cos (species),14
Monoraphidium neglectum (species),14
Polyporus (genus),14
Vitis vinifera (species),14
Hibiscus syriacus (species),14
Opisthocomus hoazin* (species),14
Phlebobranchia (order),14
Caenorhabditis latens (species),13
Stegodyphus dumicola (species),13
Fopius arisanus (species),13
Massariosphaeria phaeospora (species),13
Lacertinae (subfamily),13
Lucilia cuprina (species),13
Madurella mycetomatis (species),13
Aves (class),13
Botryosphaeria dothidea (species),13
Soboliphyme baturini (species),13
Chondrus crispus (species),13
Aspergillus sydowii CBS 593.65* (strain),13
Caenorhabditis elegans (species),13
Colobus angolensis palliatus* (subspecies),13
Selenastraceae (family),13
Hermetia illucens (species),12
Scaptodrosophila lebanonensis (species),12
Euroglyphus maynei (species),12
Austrofundulus limnaeus (species),12
Salmoninae (subfamily),12
Thermothelomyces thermophilus ATCC 42464* (strain),12
Boreoeutheria (clade),12
Pisolithus microcarpus 441* (strain),12
Spodoptera (genus),12
Ziziphus jujuba (species),12
Zygosaccharomyces (genus),11
Pneumocystis* (genus),11
Erythranthe guttata (species),11
Sugiyamaella lignohabitans (species),11
Philasterides dicentrarchi (species),11
Anopheles sinensis (species),11
Aspergillus minisclerotigenes (species),11
Gymnodraco acuticeps* (species),11
Chytriomycetaceae (family),11
Mycena kentingensis (species),11
Papilionoidea (superfamily),11
Tropilaelaps mercedesae (species),11
Helianthus annuus (species),11
Henosepilachna vigintioctopunctata (species),10
Cyanidioschyzon merolae strain 10D (strain),10
Miridae (family),10
Chlorophyceae (class),10
Python bivittatus (species),10
Bryopsida (class),10
Araneoidea (superfamily),10
Acanthopagrus latus (species),10
Actinomortierella wolfii (species),10
Poecilia (genus),10
Lobosporangium transversale* (species),10
Trichoplax adhaerens (species),10
Stachybotrys chartarum IBT 7711 (strain),10
Felidae (family),10
Perkinsela sp. CCAP 1560/4 (species),10
Eurotiales (order),10
Stegodyphus (genus),10
Intoshia linei* (species),10
Bemisia tabaci (species),10
Juglans regia (species),10
Coprinopsis marcescibilis (species),10
Ustilaginales (order),10
Babesia (genus),10
Tetrapyrgos nigripes* (species),9
Anopheles (genus),9
Odontomachus brunneus (species),9
Elateroidea (superfamily),9
Bugula neritina (species),9
Diaporthe ampelina (species),9
Sarcopterygii (superclass),9
Paxillus rubicundulus Ve08.2h10* (strain),9
Cucurbita maxima (species),9
Pogonomyrmex barbatus (species),9
Apophysomyces ossiformis (species),9
Suillus (genus),9
Gekko japonicus (species),9
Schistosoma japonicum (species),9
Cucumis (genus),9
Andalucia godoyi* (species),9
Papilio* (genus),9
Equus asinus* (species),9
Neohortaea acidophila* (species),9
Komagataella (genus),9
Pediculus humanus corporis (subspecies),9
Octopus bimaculoides (species),9
Monomorium pharaonis (species),9
Stomoxys calcitrans (species),9
Parasitengona (clade),8
Sarcoptes scabiei* (species),8
Pyropia tenera (species),8
Westerdykella ornata (species),8
Tanacetum cinerariifolium (species),8
Nasonia vitripennis (species),8
Gregarina niphandrodes (species),8
Galeopterus variegatus* (species),8
Pythium (genus),8
Plasmodium (Vinckeia) (subgenus),8
Fusarium graminearum (species),8
Parambassis ranga (species),8
Chaetophorales (order),8
Linnemannia gamsii (species),8
Saprolegnia parasitica CBS 223.65* (strain),8
Acephala macrosclerotiorum (species),8
Auxenochlorella protothecoides (species),8
Onchocerca ochengi (species),8
Thalassiosira pseudonana CCMP1335* (strain),8
Temnothorax longispinosus (species),8
Bursaphelenchus xylophilus (species),8
Malvaceae (family),8
Dactylellina haptotyla CBS 200.50* (strain),8
Chloropicon primus (species),8
Dictyocoela (genus),8
Varroa* (genus),8
Geotrypetes seraphini (species),8
Powellomyces hirtus* (species),8
Olea europaea subsp. europaea (subspecies),8
Anisakis simplex (species),7
Sitophilus oryzae (species),7
Fusarium culmorum (species),7
Strongylus vulgaris (species),7
Saprolegnia (genus),7
Triticum dicoccoides (species),7
Dothidotthia symphoricarpi CBS 119687* (strain),7
Aspergillaceae (family),7
Agaricales (order),7
Bangiophyceae (class),7
Entomortierella beljakovae (species),7
Penicillium flavigenum (species),7
Monilinia laxa (species),7
Ascomycota (phylum),7
Thripinae (subfamily),7
Helicoverpa armigera (species),7
Blastocystis hominis (species),7
Rhizopus (genus),6
Lissotriton vulgaris (species),6
Spizellomyces sp. 'palustris'* (species),6
Tachysurus fulvidraco (species),6
Pteropus vampyrus (species),6
Physarum polycephalum (species),6
Tuberaceae (family),6
Peronospora effusa (species),6
Sporocadaceae (family),6
Mycosphaerellaceae (family),6
Spizellomyces (genus),6
Colletotrichum (genus),6
Tetraodon nigroviridis (species),6
Fusarium verticillioides 7600* (strain),6
Spizellomyces punctatus DAOM BR117* (strain),6
Auricularia subglabra TFB-10046 SS5* (strain),6
Euteleosteomorpha (cohort),5
Porphyra umbilicalis (species),5
Etheostoma (genus),5
Lasiodiplodia theobromae (species),5
Pelodiscus sinensis (species),5
Schistosomatidae (family),5
Catarrhini (parvorder),5
Ophiostoma piceae UAMH 11346* (strain),5
Mus musculus (species),5
Syncephalastrum racemosum (species),5
Tremella mesenterica (species),4
Bacillariaceae* (family),4
Fibroporia radiculosa (species),4
Vespa mandarinia (species),3
Colletotrichum graminicola M1.001* (strain),2
Synchytrium endobioticum (species),0
