Taxonomy Name,MR
Rhizoclosmatium globosum (species),22
Noctuidae (family),21
Mortierellaceae (family),21
Mytilus galloprovincialis (species),21
Stylonychia lemnae (species),21
Fusarium (genus),21
RTA clade (clade),21
Boreoeutheria (clade),20
Anneissia japonica (species),20
Aphanomyces euteiches (species),19
Drosophila subpulchrella (species),19
Embryophyta (clade),18
Naegleria gruberi (species),18
Diploscapter pachys (species),18
Braconidae (family),17
asterids (clade),17
Micromonas commoda (species),17
Naegleria fowleri (species),17
Mollusca (phylum),17
Daphnia carinata (species),16
Amniota (clade),16
Nicotiana* (genus),16
Tetrahymena thermophila SB210* (strain),15
Pleurostomum flabellatum* (species),15
Brassiceae (tribe),14
Ceratobasidium theobromae (species),14
Entomortierella chlamydospora (species),14
Didymosphenia geminata (species),14
Amphimedon queenslandica (species),13
Scenedesmus sp. NREL 46B-D3 (species),13
Colobus angolensis palliatus* (subspecies),13
Tetrabaena socialis* (species),13
Entamoeba invadens IP1* (strain),12
Aphanomyces stellatus (species),12
Crustacea (subphylum),12
Alveolata (clade),12
Orbicella faveolata (species),12
Chondrus crispus (species),12
Neoptera (infraclass),12
Penicillium freii (species),11
Dunaliella salina (species),11
Ectocarpus sp. CCAP 1310/34 (species),11
Tortispora caseinolytica NRRL Y-17796* (strain),11
Brachionus (genus),10
Asbolus verrucosus* (species),10
Exaiptasia diaphana (species),10
Vitrella brassicaformis CCMP3155* (strain),10
Phialocephala scopiformis (species),10
Phytophthora palmivora var. palmivora* (varietas),10
Sordariomycetes (class),10
Carlito syrichta* (species),10
Rozella allomycis CSF55* (strain),10
Bacillariophyceae (class),10
Volvox carteri f. nagariensis (forma),10
Aspergillus hiratsukae (species),9
Deuterostomia (clade),9
Cannabis sativa* (species),9
Frankliniella occidentalis (species),9
Globisporangium splendens (species),9
Trebouxia sp. A1-2 (species),8
Nelumbo nucifera (species),8
Helicosporidium sp. ATCC 50920 (species),8
Arabidopsis lyrata subsp. lyrata (subspecies),8
Naegleria (genus),8
Python bivittatus (species),8
Zea mays (species),8
Nematostella vectensis (species),8
Lophotrochozoa (clade),7
Grammonema cf. islandica (species),7
Crassostrea gigas (species),7
Valvatida (order),7
Upupiformes (order),7
Ovalentaria (clade),7
Oncorhynchus tshawytscha (species),7
Apocrita (suborder),7
Hymenoptera (order),7
Ricinus communis* (species),6
Patiria miniata (species),6
Ectocarpus (genus),6
Lingula anatina (species),6
Glomeromycetes (class),6
Acanthamoeba castellanii str. Neff* (strain),6
Trypanosoma (genus),6
Lepidopterella palustris CBS 459.81* (strain),6
Chlorophyceae (class),6
Pycnococcus provasolii* (species),6
Dothideomycetes (class),6
Odobenus rosmarus divergens (subspecies),6
Rickenella mellea (species),6
Gautieria morchelliformis (species),6
Stylophora pistillata (species),6
Rhodamnia argentea (species),6
Pythium (genus),6
Euacanthomorphacea (clade),5
Marssonina brunnea f. sp. 'multigermtubi' MB_m1* (strain),5
Apolygus lucorum (species),5
Paramicrosporidium saccamoebae* (species),5
Euteleostomi* (clade),5
Paramormyrops kingsleyae (species),5
Ophiocordyceps (genus),5
Pocillopora damicornis (species),5
Plasmodiophora brassicae* (species),5
Ancylostoma ceylanicum (species),4
Eurotiomycetidae (subclass),4
Agaricomycetes (class),4
Monoraphidium neglectum (species),4
Belonocnema treatae* (species),4
Cyprideis torosa (species),4
Aureococcus anophagefferens* (species),4
Thelephora terrestris (species),4
Anisakis simplex (species),3
Amblyraja radiata (species),3
Chloropicon primus (species),3
Cylindrobasidium torrendii FP15055 ss-10* (strain),2
