Taxonomy Name,MR
Deuterostomia (clade),418
Halteria grandinella (species),411
Gnathostomata (clade),397
Chlamydomonas eustigma (species),390
Agaricomycotina (subphylum),382
Brachionus calyciflorus (species),381
Crassostrea gigas (species),373
Volvox carteri f. nagariensis (forma),371
Nosema granulosis (species),365
Pancrustacea (clade),357
Amblyraja radiata (species),351
Trichomonas vaginalis G3* (isolate),342
Guillardia theta CCMP2712* (strain),340
Ziziphus jujuba (species),338
Exaiptasia diaphana (species),336
Giardia lamblia ATCC 50803 (strain),328
Babjeviella inositovora NRRL Y-12698* (strain),313
Verticillium dahliae (species),301
Basidiomycota (phylum),285
Hexapoda (subphylum),283
Clupeocephala (no rank),282
Pentapetalae (clade),280
Tetrapoda (clade),274
Chlorella clade (clade),272
Macrostomum lignano (species),269
Mytilus (genus),265
Saccharomycetales* (order),264
Liparis tanakae (species),261
Chenopodiaceae (family),258
Sterkiella histriomuscorum (species),257
Folsomia candida (species),255
Chlorella sorokiniana (species),252
Accipitrinae (subfamily),247
Labeo rohita (species),245
Elateriformia (infraorder),241
Fonticula alba* (species),240
Stagonospora sp. SRC1lsM3a (species),239
Mizuhopecten yessoensis* (species),232
Cyberlindnera jadinii (species),231
Eleutherozoa (clade),229
Soboliphyme baturini (species),229
Boreoeutheria (clade),228
Parasponia andersonii (species),227
Tanacetum cinerariifolium (species),224
Procambarus clarkii (species),223
Pecten maximus (species),222
Portunus trituberculatus (species),222
Lupinus albus (species),220
Pterygota (subclass),219
Reticulomyxa filosa* (species),212
Pomacea canaliculata (species),212
Monosiga brevicollis MX1* (strain),204
Giardia intestinalis (species),200
Salpingoeca rosetta (species),197
Brachionus manjavacas (species),193
Pectinidae (family),190
Crustacea (subphylum),190
Mucorales* (order),190
Helobdella robusta (species),188
Cryptosporidium felis (species),183
Agaricomycetes incertae sedis (no rank),176
Ramazzottius varieornatus (species),176
Bugula neritina (species),175
Percomorphaceae (clade),167
Capitella teleta (species),164
Gigaspora rosea (species),163
Pythium oligandrum (species),163
Gastropoda (class),160
Temnothorax (genus),158
Adiantum capillus-veneris (species),157
Branchiostoma (genus),155
Protopolystoma xenopodis (species),154
Rosa chinensis (species),152
Crassostrea virginica (species),149
Pocillopora damicornis (species),149
Ditrysia (clade),149
Aureococcus anophagefferens* (species),147
Actinia tenebrosa (species),143
Rhizophagus (genus),142
Anneissia japonica (species),141
Chlorophyta (phylum),138
Hexacorallia (subclass),135
melanogaster group (species group),134
Vitrella brassicaformis CCMP3155* (strain),133
Gonapodya prolifera JEL478* (strain),132
Hypsibius dujardini (species),131
Stramenopiles (clade),130
Mytilus galloprovincialis (species),129
Cloeon dipterum (species),129
Marchantia polymorpha (species),125
Jaculus jaculus (species),124
Galerina marginata CBS 339.88* (strain),123
Leishmania tarentolae (species),122
Patiria miniata (species),121
Clunio marinus (species),121
Astyanax mexicanus (species),120
Penaeus vannamei (species),120
Thelephora ganbajun (species),119
Philasterides dicentrarchi (species),117
Nelumbo nucifera (species),113
Branchiostoma floridae (species),111
Panarthropoda (clade),110
Crassostrea (genus),110
Ochotona princeps (species),110
Entamoeba* (genus),107
Dendronephthya gigantea (species),107
Caenorhabditis remanei (species),106
Parasitengona (clade),104
Naegleria fowleri (species),103
Scenedesmus sp. NREL 46B-D3 (species),102
Epiphanes senta* (species),102
Rozella allomycis CSF55* (strain),102
Cantharellus anzutake (species),102
Strongylocentrotus purpuratus (species),101
Stigeoclonium helveticum (species),100
Dissostichus mawsoni (species),100
Stylophora pistillata (species),100
Annelida (phylum),100
Catenaria anguillulae PL171* (strain),99
Apostichopus japonicus (species),98
Obtectomera (clade),97
Rhabditida (order),96
Elysia chlorotica (species),96
Brachionus rotundiformis (species),96
Euthyneura (clade),96
Agaricales (order),95
Stegodyphus mimosarum (species),94
Bodo saltans (species),94
Scleractinia (order),94
Papilio polytes (species),93
Coptotermes formosanus (species),92
Aspergillus homomorphus CBS 101889* (strain),91
Fasciolopsis buski* (species),90
Perciformes (order),90
Trichoplax (genus),88
Saccoglossus kowalevskii (species),88
Oomycota (class),88
Valvatida (order),88
Oikopleura dioica (species),87
Mytilus coruscus (species),87
Apocrita (suborder),85
Asteroidea (class),85
Steinernema carpocapsae (species),85
Gonium pectorale (species),84
Nannochloropsis salina CCMP1776* (strain),84
Trametes pubescens (species),83
Lipotes vexillifer* (species),81
Spizellomyces (genus),80
Aphanomyces stellatus (species),80
Emiliania huxleyi CCMP1516* (strain),79
Aves (class),79
Centruroides sculpturatus (species),79
Chaetophorales (order),79
Etheostoma spectabile (species),78
Trogonidae* (family),77
Eurytemora affinis (species),76
Asbolus verrucosus* (species),75
Aspergillus novofumigatus IBT 16806* (strain),75
Colletotrichum nymphaeae SA-01* (strain),75
Paragonimus (genus),74
Pleosporomycetidae (subclass),73
Littorina littorea (species),73
Helicoverpa armigera (species),72
Acytosteliales (order),71
Armillaria gallica (species),71
Hippocampus comes (species),71
Leptidea sinapis (species),70
Aplysia californica (species),70
Formicidae* (family),69
Scytalidium lignicola (species),68
Araneus ventricosus (species),68
Aphidinae (subfamily),68
Perca fluviatilis (species),67
Curculionidae (family),67
Ixodes scapularis (species),67
Haematococcus lacustris (species),66
Acanthamoeba castellanii str. Neff* (strain),66
Penaeus (genus),66
Dendroctonus ponderosae (species),66
Buthidae* (family),66
Dunaliella salina (species),65
Hymenoptera (order),65
Biomphalaria glabrata (species),65
Trichogramma (genus),65
Callosobruchus maculatus (species),64
Aspergillus turcosus (species),64
Darwinula stevensoni* (species),62
Parasitiformes (superorder),62
Limulus polyphemus (species),62
Nylanderia fulva (species),62
Intoshia linei* (species),61
Timema shepardi (species),61
Notodromas monacha* (species),61
Microbotryum intermedium (species),60
Dunaliella viridis (species),60
Trichoplax adhaerens (species),59
unclassified Scenedesmus (no rank),58
Chlorella (genus),58
Cricetidae (family),57
Mucoromycota (phylum),56
Ectocarpus (genus),56
Cucujiformia (infraorder),56
Parasteatoda tepidariorum (species),56
Ciona intestinalis (species),55
Phytophthora (genus),54
Dothideomycetes (class),54
Phallusia mammillata (species),54
Polyporales (order),53
Rhipicephalus microplus (species),53
Microchiroptera (suborder),53
Caenorhabditis (genus),53
Tigriopus californicus (species),53
Rhizoclosmatium globosum (species),52
Micractinium conductrix (species),52
Orussus abietinus (species),52
Operophtera brumata (species),52
Vertebrata* (clade),52
Schistosoma curassoni (species),51
Thalassophryne amazonica (species),50
Platyhelminthes (phylum),50
Bigyra (class),50
Hydnomerulius pinastri MD-312* (strain),49
Aspergillus transmontanensis (species),49
Diploscapter pachys (species),49
Acropora (genus),49
Diptera (order),49
Attini (tribe),49
Drosophila busckii* (species),48
Gigaspora (genus),48
Argiope bruennichi (species),48
Amphiprion ocellaris (species),48
Rhipicephalinae (subfamily),48
Papilionoidea (superfamily),48
Myrrophis chinensis (species),48
Ephemera danica (species),48
Ixodidae (family),47
Pythium insidiosum (species),47
Micromonas pusilla CCMP1545* (strain),47
Nesidiocoris tenuis (species),47
Frieseomelitta varia (species),47
Urocitellus parryii (species),46
Marmota marmota marmota* (subspecies),46
Endogone sp. FLAS-F59071 (species),45
Wuchereria bancrofti* (species),45
Chlorellaceae (family),44
Gadus morhua (species),44
Theileria equi strain WA* (strain),44
Physcomitrium patens (species),44
Galliformes (order),44
Cafeteria roenbergensis* (species),44
Trichinella* (genus),44
Cenococcum geophilum 1.58* (strain),44
Vigna angularis var. angularis (varietas),44
Leucosporidium creatinivorum (species),43
Epinephelus lanceolatus (species),43
Schistosoma (genus),43
Sitophilus oryzae (species),43
Metatheria (clade),43
Schizosaccharomyces pombe (species),43
saccharomyceta (clade),43
Anthozoa (class),42
Daphnia (genus),42
Chelicerata (subphylum),42
Spizellomyces punctatus DAOM BR117* (strain),42
Pyrus ussuriensis x Pyrus communis (species),41
Homo sapiens (species),41
Coturnix japonica (species),41
Aphanomyces (genus),41
Xiphophorus hellerii (species),40
Sarcopterygii (superclass),40
Cervidae (family),40
Chalcidoidea (superfamily),40
Araneoidea (superfamily),39
Polyphaga (suborder),39
Tetranychus urticae (species),39
Stylonychinae (subfamily),39
Plasmodium gallinaceum (species),39
Dacinae (subfamily),39
Cinnamomum micranthum f. kanehirae* (forma),38
Aphidoidea (superfamily),38
Pyrenophora tritici-repentis (species),38
Teleostei (infraclass),38
Encephalitozoon* (genus),38
Golovinomyces magnicellulatus (species),38
Podospora (genus),38
Beauveria bassiana (species),38
Araneidae (family),37
Gryganskiella cystojenkinii* (species),36
Clavispora lusitaniae (species),36
Pocilloporidae (family),36
Ancylostoma duodenale (species),36
Helianthus annuus (species),36
Valsa mali var. pyri (varietas),35
Chlorella vulgaris (species),35
Blumeria graminis f. sp. tritici (forma specialis),35
Pythium (genus),35
Embryophyta (clade),34
Chytridiomycetes (class),34
Priapulus caudatus (species),34
Pungitius pungitius (species),34
Wallemia hederae (species),34
Syncephalastrum racemosum (species),34
Trichinella murrelli (species),34
Aculeata (infraorder),33
Tyrannus savana (species),33
Linnemannia (genus),33
Nomia melanderi (species),33
Spirometra erinaceieuropaei (species),33
Rotifera (phylum),32
Zea mays (species),32
Lamprigera yunnana (species),32
Colubroidea (superfamily),32
Culicinae (subfamily),32
Macaca fascicularis (species),32
Spodoptera litura (species),32
Elaeis guineensis (species),31
Amphibalanus amphitrite (species),31
Armadillidium (genus),31
Ophiocordyceps australis (species),31
Maniola hyperantus (species),31
Akanthomyces lecanii (species),31
Dasypus novemcinctus (species),31
Megachile rotundata (species),30
Sinocyclocheilus grahami (species),30
Cyprinodon (genus),30
Copidosoma floridanum (species),30
Naegleria (genus),30
Actinopteri (class),30
Tolypocladium ophioglossoides CBS 100239* (strain),30
Pediculus humanus corporis (subspecies),30
Uronema sp. CCAP 334/1 (species),29
Bdelloidea (class),29
Cryomyces minteri* (species),29
Planoprotostelium fungivorum (species),29
Noctuidae (family),28
Lacertinae (subfamily),28
Trichogramma pretiosum (species),28
Hyalella azteca (species),28
Ambigolimax valentianus* (species),28
Citrus clementina (species),28
Pneumocystis jirovecii (species),28
Fistulifera solaris (species),27
Periegops suteri (species),27
Sepia pharaonis (species),27
Striga asiatica (species),27
Uronema confervicola (species),26
Buceros rhinoceros silvestris* (subspecies),26
Oncorhynchus nerka (species),26
Laodelphax striatellus* (species),26
Chiloscyllium punctatum (species),26
Opisthocomus hoazin* (species),26
Kwoniella heveanensis BCC8398 (strain),26
Multicrustacea (superclass),26
Mycena sanguinolenta (species),25
OCC clade (clade),24
Toxocara canis (species),24
Clarias magur (species),24
Harpegnathos saltator (species),24
Cunninghamellaceae (family),24
Kryptolebias marmoratus (species),24
Notolabrus celidotus (species),24
Branchiostoma belcheri (species),24
Danaus plexippus plexippus (subspecies),23
Durio zibethinus (species),23
Mortierellaceae (family),23
Zerene cesonia (species),23
Andrias davidianus (species),23
Dictyostelia (clade),23
Aphis glycines (species),23
Triticum aestivum (species),23
Rhincodon typus* (species),23
Fopius arisanus (species),23
Osteoglossocephalai (clade),22
Drosophila bipectinata (species),22
Pyroglyphidae (family),22
Actinopterygii (superclass),22
Delphacidae (family),22
Bombyx (genus),22
Lamprotornis superbus (species),22
Pooideae (subfamily),21
Orchesella cincta (species),21
Hondaea fermentalgiana* (species),21
Diversispora epigaea (species),21
Paxillus rubicundulus Ve08.2h10* (strain),21
Chlorociboria aeruginascens (species),20
fungal sp. No.14919 (species),20
Aspergillus udagawae (species),20
Anopheles (genus),20
Caenorhabditis elegans (species),20
Frankliniella occidentalis (species),20
Schizophora (no rank),20
Mitosporidium daphniae* (species),20
Bradysia coprophila (species),20
Parambassis ranga (species),20
Rhizophagus sp. MUCL 43196 (species),20
Euarchontoglires (superorder),20
Polysphondylium violaceum* (species),20
Aspergillus taichungensis (species),20
Leucopsar rothschildi* (species),20
Hermetia illucens (species),19
Hypsibioidea (superfamily),19
Strigomonas culicis (species),19
Acanthaster planci (species),19
Gekko japonicus (species),19
Mucorineae (suborder),19
Anopheles stephensi (species),19
Astrocoeniina (suborder),19
Prosopis alba (species),19
Dibothriocephalus latus (species),19
Gambusia affinis (species),19
Dinothrombium tinctorium (species),19
Galdieria sulphuraria (species),19
Aphis (subgenus),18
Eutheria (clade),18
Heterostelium album PN500* (strain),18
Lucilia cuprina (species),18
Pieris rapae (species),18
Selenastraceae (family),18
Paragonimus heterotremus (species),18
Archelosauria (clade),18
Cucumispora dikerogammari* (species),18
Aphanomyces astaci (species),17
Takifugu (genus),17
Carpinus fangiana (species),17
Trypanosomatidae* (family),17
Paxillus ammoniavirescens (species),17
Fusarium sp. DS 682 (species),17
[Candida] glabrata (species),17
repleta group (species group),17
Gymnopus luxurians FD-317 M1* (strain),17
Gamasina (infraorder),17
Selaginella moellendorffii (species),17
Apoidea (superfamily),17
Volvocaceae (family),16
Apinae (subfamily),16
Danionella translucida (species),16
Lampyridae (family),16
Mammalia (class),16
Xenopus tropicalis (species),16
Gongylonema pulchrum (species),16
Wickerhamomyces ciferrii (species),16
Lucifuga dentata (species),16
Aconoidasida (class),16
Seriola (genus),16
Psilocybe cf. subviscida (species),16
Suillus (genus),15
Stegodyphus dumicola (species),15
Phytophthora parasitica P1569 (strain),15
Absidia repens (species),15
Erithacus rubecula (species),15
Pristionchus pacificus (species),15
Syzygium oleosum (species),15
Monomorium pharaonis (species),15
Octopus bimaculoides (species),15
Arthrobotrys oligospora (species),15
Bipolaris sorokiniana (species),14
Paxillus (genus),14
Poeciliinae (subfamily),14
Drosophila elegans (species),14
Coleoptera (order),14
Conidiobolus coronatus NRRL 28638* (strain),14
Culex quinquefasciatus (species),14
Parasitoida (infraorder),14
Trebouxiophyceae (class),13
Trachymyrmex zeteki (species),13
Anthoscopus minutus (species),13
Diphyllobothriidae* (family),13
Octopus sinensis (species),13
Aphididae (family),13
Hypocreomycetidae (subclass),13
Sousa chinensis (species),13
Suillus brevipes Sb2* (strain),13
Chlamydomonadaceae (family),13
Arachnida (class),13
Acanthochromis polyacanthus* (species),13
Naegleria gruberi (species),13
Gossypium harknessii (species),13
Taeniopygia guttata (species),12
Spodoptera frugiperda (species),12
Senna tora (species),12
Cantharellales (order),12
Halyomorpha halys (species),12
Bacillariophyta (phylum),12
Sauria* (clade),12
Etheostoma (genus),12
Ancylostoma ceylanicum (species),11
Batrachochytrium salamandrivorans (species),11
Paxilineae (suborder),11
Penicillium (genus),11
Tracheophyta (clade),11
Endocarpon pusillum Z07020* (strain),11
Lineolata rhizophorae* (species),10
Trichostrongyloidea (superfamily),10
Ascaridoidea (superfamily),10
Oryzias melastigma (species),10
Oryzias javanicus (species),10
Aphanomyces euteiches (species),10
Klebsormidium nitens (species),10
Onthophagus taurus (species),10
rosids (clade),10
Eimeria (genus),10
Amoebozoa (clade),10
Symbiodinium microadriaticum (species),10
Postia placenta (species),9
Oryza sativa (species),9
Pyricularia (genus),9
Enchytraeidae (family),9
Opiinae (subfamily),9
Microplitis demolitor (species),9
Oncorhynchus tshawytscha (species),9
Glomus cerebriforme (species),9
Passeriformes (order),9
Stegastes partitus (species),8
Chytriomycetaceae (family),8
Monodopsidaceae (family),8
Bombyx mori (species),8
Cyprideis torosa (species),8
Rosellinia necatrix (species),8
Percidae (family),8
Ochrophyta (clade),8
Asterias rubens (species),8
Acytosteliaceae (family),8
Probosciger aterrimus* (species),8
Colletotrichum (genus),7
Sinonovacula constricta (species),7
Leptotrombidium deliense (species),7
Chilodonella uncinata* (species),7
Polychaeta (class),7
Dictyostelium discoideum AX4 (strain),7
Drosophila willistoni (species),7
Echinops telfairi* (species),7
Aspergillus niger (species),7
Galendromus occidentalis (species),7
Echinodermata (phylum),6
Rhagoletis (genus),6
Ovalentaria (clade),6
Ectocarpus siliculosus (species),6
Rosales (order),6
Cucumis melo var. makuwa (varietas),6
Pycnococcus provasolii* (species),5
Ectocarpus sp. CCAP 1310/34 (species),5
Evosea (phylum),5
Perca flavescens (species),5
Plasmodium ovale wallikeri (subspecies),4
Tuber (genus),4
