Taxonomy Name,MR
Byttnerioideae (subfamily),31
[Candida] haemuloni (species),31
Priapulus caudatus (species),30
Onchocercidae (family),30
Tanacetum cinerariifolium (species),30
Acanthaster planci (species),29
Ciona intestinalis (species),29
Trichinella* (genus),29
Opisthorchiidae (family),29
Mitosporidium daphniae* (species),29
Euthyneura (clade),28
Percomorphaceae (clade),28
Nosema granulosis (species),28
Eutypa lata UCREL1* (isolate),28
Alopecoenas beccarii (species),28
Buceros rhinoceros silvestris* (subspecies),28
Gigaspora rosea (species),28
Zapornia atra (species),28
Tortispora caseinolytica NRRL Y-17796* (strain),27
Helobdella robusta (species),27
Hexapoda (subphylum),27
Tarenaya hassleriana (species),27
Strongylocentrotus purpuratus (species),27
Angomonas deanei (species),27
Limulus polyphemus (species),27
Hymenoptera (order),26
Archelosauria (clade),26
Thalassiosira pseudonana CCMP1335* (strain),26
Agrocybe pediades (species),26
Elopomorpha* (clade),26
Polyphaga (suborder),25
Cimex lectularius (species),25
Symbiodinium microadriaticum (species),25
Echinostoma caproni (species),25
Trichomalopsis sarcophagae (species),24
Fungi incertae sedis (no rank),24
Dissophora globulifera (species),24
Trypanosoma (genus),24
Panarthropoda (clade),24
Ascomycota (phylum),24
Chlorella (genus),24
Aspergillus (genus),24
Gossypium schwendimanii (species),24
Parasitengona (clade),24
Glomus cerebriforme (species),24
Hyalella azteca (species),24
Rotifera (phylum),24
Monomorium pharaonis (species),23
Neodiprion lecontei (species),23
Acropora digitifera (species),23
Fonticula alba* (species),23
Mycena kentingensis (species),23
Brachionus manjavacas (species),23
Octopus sinensis (species),22
Neognathae (infraclass),21
Monopterus albus (species),21
Pocillopora damicornis (species),21
Hypsibius dujardini (species),21
Pythium oligandrum (species),21
Ramazzottius varieornatus (species),21
Archocentrus centrarchus (species),21
Rhizophagus (genus),21
Aedes albopictus (species),21
Crassostrea gigas (species),20
Arachnida (class),20
Ovalentaria (clade),20
Agaricomycetes (class),20
Angiostrongylus costaricensis (species),20
Vanilla planifolia (species),20
Cloeon dipterum (species),20
Pomacea canaliculata (species),20
Bradysia coprophila (species),19
Actinia tenebrosa (species),19
Tropilaelaps mercedesae (species),19
Danionella translucida (species),19
Marchantia polymorpha (species),19
Akanthomyces lecanii (species),18
Streptophytina (subphylum),18
Parasitoida (infraorder),18
Metschnikowia aff. pulcherrima (species),18
Diaporthe helianthi (species),18
Octodon degus (species),18
Rhagoletis zephyria (species),18
Nematostella vectensis (species),18
Monodopsidaceae (family),18
Aves (class),18
Perkinsus (genus),17
Grifola frondosa (species),17
Branchiostoma floridae (species),17
Rivulidae (family),17
Contarinia nasturtii (species),17
Geotrichum candidum (species),17
Perkinsus olseni (species),17
unclassified Pseudogymnoascus (no rank),17
Dufourea novaeangliae (species),17
Laodelphax striatellus* (species),17
Drosophila busckii* (species),17
Lottia gigantea (species),17
Bacillariaceae* (family),16
Chlorellaceae (family),16
Absidia repens (species),16
Sepia pharaonis (species),16
Diuraphis noxia (species),16
Galliformes (order),16
Chromadorea (class),16
Tigriopus californicus (species),16
Pisolithus microcarpus 441* (strain),16
Musaceae (family),16
Penicillium (genus),16
Amphibalanus amphitrite (species),16
Osmia bicornis bicornis (subspecies),16
Mortierellaceae (family),16
Pichia kudriavzevii (species),16
Siluroidei (suborder),16
Helobdella (genus),16
Orbicella faveolata (species),15
Leptinotarsa decemlineata (species),15
Ricinus communis* (species),15
Philasterida (order),15
Bactrocera dorsalis (species),15
Otomorpha (cohort),15
Callorhinchus milii (species),15
Sarcoptes scabiei* (species),15
Apophysomyces ossiformis (species),15
Astyanax mexicanus (species),15
50 kb inversion clade (clade),15
Basidiomycota (phylum),15
Oryzias melastigma (species),14
Danio rerio (species),14
Agaricomycetidae (subclass),14
Anncaliia algerae PRA339 (strain),14
Hymenolepis diminuta (species),14
Suillus brevipes Sb2* (strain),14
Tribolium castaneum (species),14
NPAAA clade (clade),14
Smittium culicis (species),14
Ctenocephalides felis (species),13
core chlorophytes (clade),13
Lepeophtheirus salmonis (species),13
Pseudo-nitzschia multistriata (species),13
Colletotrichum nymphaeae SA-01* (strain),13
Sparganum proliferum (species),13
Anopheles (genus),13
Piedraia hortae CBS 480.64* (strain),13
Ancylostoma (genus),13
Plicaturopsis crispa FD-325 SS-3* (strain),13
Colobus angolensis palliatus* (subspecies),13
Perkinsus chesapeaki (species),13
Portunus trituberculatus (species),13
Etheostoma spectabile (species),13
Schistosoma japonicum (species),13
Eurytemora affinis (species),13
Hominoidea (superfamily),13
Brassica cretica (species),13
Osmia lignaria (species),13
Crassostrea (genus),13
Digenea (subclass),13
Candida tropicalis MYA-3404 (strain),13
Serendipita vermifera 'subsp. bescii' (subspecies),13
Plasmodium (genus),12
Phascolarctos cinereus* (species),12
Spodoptera frugiperda (species),12
Paracercomonas marina* (species),12
Eumeta japonica (species),12
Ephemera danica (species),12
Strigomonas culicis (species),12
Mycena (genus),12
Cavenderia fasciculata (species),12
Lachancea (genus),12
Talaromyces atroroseus (species),12
Apostasia shenzhenica (species),12
Maniola hyperantus (species),12
Ovis aries (species),12
Eupercaria (clade),12
Batrachochytrium salamandrivorans (species),12
Eimeria mitis (species),12
Theileria (genus),11
Stichotrichia (subclass),11
Octopus (genus),11
Planoprotostelium fungivorum (species),11
Thrips palmi (species),11
Strigomonadinae (subfamily),11
Bathyergidae (family),11
Elysia chlorotica (species),11
Trichuris* (genus),11
Metatheria (clade),11
Saimiri boliviensis boliviensis (subspecies),11
Apolygus lucorum (species),11
Multicrustacea (superclass),11
Phaseoleae (tribe),11
Halicephalobus sp. NKZ332 (species),11
Galeopterus variegatus* (species),11
Trypanosoma theileri (species),11
rosids (clade),11
Ophiophagus hannah* (species),11
Thelohanellus kitauei* (species),11
Araneus ventricosus (species),10
Tilletia indica (species),10
Opiinae (subfamily),10
unclassified Rhodotorula (no rank),10
Rhabditida (order),10
Nesidiocoris tenuis (species),10
Astrocoeniina (suborder),10
Linnemannia zychae (species),10
Monosporascus (genus),10
Polysphondylium violaceum* (species),10
Fragaria vesca subsp. vesca (subspecies),10
Trinorchestia longiramus* (species),10
sordariomyceta (clade),10
Euarchontoglires (superorder),10
Chaetura pelagica (species),10
Parasitella parasitica* (species),10
Gregarina niphandrodes (species),10
Hermetia illucens (species),10
Chlorophyta (phylum),9
Yamadazyma tenuis ATCC 10573* (strain),9
Drosophila (genus),9
Urocolius indicus (species),9
Culex quinquefasciatus (species),9
Rhipicephalinae (subfamily),9
Peronosporaceae (family),9
Solenopsis invicta (species),9
Obtectomera (clade),9
pseudoobscura subgroup (species subgroup),9
Ostariophysi (subcohort),9
Cervus elaphus hippelaphus (subspecies),9
Glomerellales (order),9
Ectocarpus siliculosus (species),9
Salpingoeca rosetta (species),9
Cyphomyrmex costatus (species),9
Cricetidae (family),8
Perciformes (order),8
Nematoda (phylum),8
Diptera (order),8
Actinopterygii (superclass),8
Gracilariopsis chorda (species),8
Jimgerdemannia flammicorona (species),8
Trichechus manatus latirostris* (subspecies),8
Gambusia affinis (species),8
Mayetiola destructor (species),8
Asterias rubens (species),8
Bemisia tabaci (species),8
Tetrabaena socialis* (species),8
Opisthorchis viverrini (species),8
Plutella xylostella (species),8
Diploscapter pachys (species),8
Paragonimus (genus),8
Bambusicola thoracicus (species),8
Aphidinae (subfamily),8
Ostreococcus tauri (species),8
Amphimedon queenslandica (species),8
Brassiceae (tribe),8
Talaromyces pinophilus (species),8
Drosophila eugracilis* (species),8
Hondaea fermentalgiana* (species),8
Branchiostoma (genus),8
Gigaspora margarita (species),8
Prunus yedoensis var. nudiflora* (varietas),8
Nosema sp. PX1 (species),8
Caenorhabditis latens (species),8
Claviceps purpurea 20.1* (strain),8
Aureococcus anophagefferens* (species),8
Catenaria anguillulae PL171* (strain),7
Lacertinae (subfamily),7
Xenopus* (genus),7
Boleophthalmus pectinirostris (species),7
Saitoella complicata NRRL Y-17804* (strain),7
Penaeus vannamei (species),7
Metschnikowia sp. JCM 33374 (species),7
Varroa* (genus),7
Tyrannus savana (species),7
Ignelater luminosus (species),7
Achlya hypogyna (species),7
Daucus carota subsp. sativus (subspecies),7
Acipenser ruthenus (species),7
Tetranychus urticae (species),7
Fomitopsis rosea (species),7
Meloidogyne enterolobii (species),7
Fusarium solani species complex (species group),7
Rhizophagus irregularis (species),7
Meloidogyne graminicola (species),6
Rhinopithecus roxellana (species),6
Paxillus (genus),6
Sclerotiniaceae (family),6
Pollicipes pollicipes (species),6
Sylvia atricapilla (species),6
Coptotermes formosanus (species),6
Mus musculus (species),6
Tichodroma muraria* (species),6
Phainopepla nitens* (species),6
asterids (clade),5
Basidiobolus meristosporus CBS 931.73* (strain),5
Argiope bruennichi (species),5
Chrysochromulina tobinii (species),5
Pleosporales (order),5
Arthrodermataceae (family),5
Sarcopterygii (superclass),5
Testudinoidea (superfamily),5
Orphinus sp. INB130* (species),5
Sauria* (clade),5
Bombycillidae (family),5
Erinaceus europaeus (species),5
Porphyridium purpureum (species),5
Dictyostelia (clade),4
Amoebozoa (clade),4
Colletotrichum tanaceti (species),4
Mimachlamys nobilis (species),4
Neocallimastigaceae (family),4
Timema* (genus),4
Delphacidae (family),3
Tremellales (order),3
Rhizophagus sp. MUCL 43196 (species),3
